"CODE";"en";"de";"it";"es";"fr";"cz";"pt_BR";"nl";"tr";"pl"
0;"English";"English";"English";"Inglés";"Anglais";"ENglish";"English";"Engels";"Turkish";"Angielski"
1;"German";"Deutsch";"tedesco";"Alemán";"Allemand";"Němčina";"Alemão";"Duits";"Almanca";"Niemiecki"
2;"Italian";"Italienisch";"italiano";"Italiano";"Italien";"Italština";"Italiano";"Italiaans";"İtalyanca";"Włoski"
3;"Spanish";"Spanisch";"Spanish";"Español";"Espagnol";"Španělština";"Espanhol";"Spaans";"İspanyolca";"Hiszpański"
4;"French";"Französisch";"francese";"francés";"Français";"french";"Francês";"Frans";"?";"Francuski"
5;"Czech";"Tschechisch";"Ceco";"Checo";"Français";"Čeština";"Checo";"Tsjechisch";"?";"Czeski"
6;"Portuguese (Brazil)";"Portuguese (Brasil)";"Portuguese (Brasil)";"Portugues (Brasil)";"Portuguese (Brasil)";"Portuguese (Brasil)";"Portugues (Brasil)";"Portugees (Braziliaans)";"?";"Portugalski (Brazylia)"
7;"Dutch";"Niederländisch";"Olandese";"Holandés";"Hollandais";"holandsky";"holandês";"Nederlands";"?";"Holenderski"
8;"Turkish";"Türkisch";"Turkish";"Turkish";"Turkish";"Turkish";"Turkish";"Turkish";"Türkçe";"Turecki"
9;"Polish";"Polnish";"Polacco";"Polaco";"Polonaise";"Polský";"Polon?s";"Pools";"Lehçe";"Polski"
