WA 	- Western Approaches
NA	- North Atlantic
CA 	- Central Atlantic
SA	- South Atlantic
MS	- Mediterranean Sea
CS	- Caribean Sea
IO	- Indic Ocean
NP	- North Pacific
CP	- Central Pacific
SP	- South Pacific
GM	- Gulf of Mexico
ES	- Aegean Sea
BB	- Bay of Biscay
CH	- Channel Area
NS	- North Sea
BS	- Baltic Sea
BL	- Black Sea
UC	- US coast
SC	- South America Coast
AS	- Arctic Sea
NW	- Norwegian Sea
BA	- Barents Sea
CE	- Canada East Coast



>>>>>>>>>>>> navy codes

RN 	- Royal Navy
KG	- Kriegsmarine
UN	- US Navy
FN	- French Navy
RU	- Russian Navy
NE	- Neutral Navy
IN	- Italian Navy
JN	- Japanese Navy
CN	- Canadian Navy
AN	- Australian Navy
NZ	- New Zealand Navy
CV	- Civilian



